gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr,isgf3_binding,gene_type,ct
DDT,0.003506252029670294,0.9725027497250275,0.032034110813691216,0.7712,0.9807766605538399,0.9471689763779527,False,upreg,Th
SNRPD3,-0.12469403161737388,0.031996800319968,-0.05799359945928166,0.5746,0.05720077644207737,0.8972044444444445,False,upreg,Th
XBP1,0.2844025328908764,3.4257492999638875e-07,-0.4333066009511206,0.194980501949805,3.7707711937459645e-06,0.7530449962522545,False,upreg,Th
EWSR1,0.08402400584623598,0.16278372162783722,-0.17709518507392333,0.1416,0.23687414072568194,0.6707331306990881,False,upreg,Th
UQCR10,0.003786208132940108,0.8991100889911009,-0.015690804452854968,0.3466,0.9317610269907778,0.808634792861151,False,upreg,Th
PIK3IP1,-0.4733391813821706,3.911811928143729e-08,-0.5252497201245849,0.0231976802319768,1.7738836907478505e-06,0.38361063829787234,False,upreg,Th
RTCB,-0.017097932335887914,0.8295170482951705,0.32918877085866477,0.3088,0.8827940410378852,0.808634792861151,False,upreg,Th
FBXO7,0.15407207841274392,0.026797320267973202,-0.07676846862247518,0.6876,0.04875403840961831,0.9327390845070421,False,upreg,Th
TXN2,-0.30475729817172403,9.626392414356052e-06,0.06183622311278883,0.3772,3.4498303977959714e-05,0.8117938868410872,False,upreg,Th
EIF3D,-0.5758997574477721,3.421165028043518e-06,-0.3039621580814663,0.0696,1.546045544931103e-05,0.5472122448979592,False,upreg,Th
RAC2,0.14183139999396877,0.004999500049995001,0.04513754705628419,0.7785221477852214,0.011070402298850575,0.9471689763779527,False,upreg,Th
MFNG,-0.28828080211396717,3.2212350222308046e-06,0.1385400283802604,0.062,1.4745257673419027e-05,0.523107027027027,False,upreg,Th
LGALS1,-0.5242675823940716,5.119599294368182e-06,0.3660576875711001,0.3163683631636836,2.0545058626618145e-05,0.808634792861151,False,upreg,Th
EIF3L,-0.5712800129165917,1.2472862031513265e-07,-0.16053998338896333,0.0474,2.815568343234137e-06,0.5079023625633003,False,upreg,Th
POLR2F,-0.06990702007714064,0.2595740425957404,0.2241393229824433,0.042,0.34995940475943654,0.49786153846153847,False,upreg,Th
TOMM22,-0.0022578793384628406,0.9425057494250575,-0.10307438462339567,0.5596,0.9593139761321094,0.8942590673575131,False,upreg,Th
APOBEC3G,0.3966068208118279,4.867001754734724e-06,0.3439397394492193,0.6765323467653235,1.9766250437664666e-05,0.9284285714285715,False,upreg,Th
RPL3,-0.2225604132631009,7.75765814053982e-05,0.04486455999430837,0.7223277672232776,0.00024150608473882547,0.9415054852320675,False,upreg,Th
ATF4,-0.12680413262293044,0.08959104089591041,0.28692350346132317,0.365,0.14366263685806238,0.808634792861151,False,upreg,Th
RPS19BP1,-0.1897452014045521,0.000999900009999,-0.20298732650928186,0.6006,0.0026824141727554798,0.9064507611738827,False,upreg,Th
ST13,-0.23885233513481433,0.00011104236457792785,-0.11568768276565887,0.8036,0.00033356000743584176,0.9518428900845504,False,upreg,Th
RBX1,0.3969338228326027,1.332002211673046e-08,0.17553028737340937,0.0628,1.080323899046402e-06,0.523107027027027,True,ISGF3,Th
PHF5A,-0.13449985182731536,0.04279572042795721,0.22828893175266782,0.3948,0.07460204205823762,0.8191197860962567,False,upreg,Th
XRCC6,-0.11695411429730973,0.012398760123987601,-0.041164516498094106,0.0536,0.02468538675848177,0.5098617283950617,False,upreg,Th
NHP2L1,-0.12220146699097595,0.0047995200479952005,0.06325950752674242,0.7094,0.010723216965089526,0.9414732249786142,False,upreg,Th
SMDT1,-0.18521037985220792,4.263563771306484e-06,-0.18283977591457282,0.2056,1.78536732923459e-05,0.7643672686265002,False,upreg,Th
NDUFA6,-0.0486145776485005,0.36896310368963103,-0.0224318758043476,0.7254,0.46566105060255647,0.9417366470092672,False,upreg,Th
RRP7A,0.20377868445824834,0.0029997000299970002,-0.4346577033403047,0.1204,0.007222715228477152,0.6439673274051906,False,upreg,Th
TSPO,0.054571957523675385,0.38536146385361464,0.049009806427151456,0.2158,0.4808437374885993,0.7728812362030906,False,upreg,Th
FAM118A,-0.20173414336325834,0.004801440432129639,0.43535462391442975,0.05742296918767507,0.010723216965089526,0.5178476744186046,False,upreg,Th
ATXN10,0.03612066604183834,0.6336633663366337,0.2668909917163297,0.9891978395679136,0.7195838227890586,0.9973666448659254,False,upreg,Th
PIM3,-0.22484816757659754,0.0015998400159984002,0.12706920303690222,0.18698130186981302,0.0040884800408848,0.736926307369263,False,upreg,Th
SAMSN1,-0.05779901175240119,0.2161783821617838,-0.24714500620695262,0.6305369463053695,0.2982371413709121,0.9132118743012917,False,upreg,Th
ATP5J,0.03232941134038188,0.45355464453554645,-0.005450142248089555,0.6342,0.5501462442268755,0.914021706864564,False,upreg,Th
USP16,-0.08946838348556714,0.26137386261373863,0.2101012907690409,0.476,0.3514634574936922,0.8619459459459459,False,upreg,Th
CCT8,-0.10408704358598017,0.039996000399960006,0.12007691723185616,0.3578,0.07011813039401407,0.808634792861151,False,upreg,Th
SOD1,-0.054470402906837335,0.12658734126587343,0.10751775660685509,0.5205479452054794,0.19012777084864615,0.8709711005012418,False,upreg,Th
SON,-0.1988972612911751,1.1095308158468822e-06,-0.03835335986505506,0.7028,7.481785134316171e-06,0.9411074531122039,False,upreg,Th
ATP5O,-0.06077323719006048,0.11898810118988101,-0.028078127589644147,0.118,0.18161599437292203,0.6439673274051906,False,upreg,Th
MRPS6,-0.0967664200922028,0.09519048095190481,0.02192501093029108,0.6358,0.15075902481694275,0.914021706864564,False,upreg,Th
HMGN1,-0.27348050591027256,5.335961521550624e-05,-0.21189588560912467,0.6527347265273473,0.00017495141924913854,0.9169227106459821,False,upreg,Th
MX1,3.228047050467009,5.5520139063050894e-08,-0.2846356952877098,0.08889820735926197,1.862820778490265e-06,0.5990554112554113,True,ISGF3,Th
U2AF1,-0.1521036317592958,1.4286636788760736e-06,0.470376204325363,0.2221777822217778,8.467579727492422e-06,0.7728812362030906,False,upreg,Th
CSTB,-0.20469301334090906,1.954995845942484e-07,0.057918226002621254,0.5412,2.9509915549223044e-06,0.8840705347454673,False,upreg,Th
PRMT2,-0.05646544696305807,0.28517148285171484,-0.3600591822047002,0.3541645835416458,0.3775337242908012,0.808634792861151,False,upreg,Th
ISG15,4.849958117550292,4.035550936132518e-07,-2.307307879920045,7.392343154394211e-06,2.453785508461265e-06,0.0002872003957430602,True,ISGF3,cM
AURKAIP1,-0.6722471295414895,8.606697157859924e-07,-0.2257915704958471,0.2976,3.523728477635027e-06,0.7029981888745148,False,upreg,cM
MRPL20,-0.8824189798377818,6.78221219642825e-07,0.06451600954727324,0.7618,3.08067648524328e-06,0.921223046357616,False,upreg,cM
SSU72,-0.9857780701894371,1.2758993192658354e-05,-0.4554303002587772,0.001,2.1896542828753903e-05,0.022825,False,upreg,cM
