gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr
SPNS1,-0.5783445651610366,1.3248915886037046e-05,0.06491833996930883,0.2224,3.256472544610821e-05,0.48606384720327417
MVP,0.5671142610143836,2.4608967657379425e-05,0.2042344494742549,0.9016,5.537017722910371e-05,0.9525405405405406
TMEM219,0.7000933158622339,1.8407632087161195e-05,-0.6992627629329272,0.002508845266533314,4.292434731241956e-05,0.03435188134176384
ALDOA,-0.5576122641054533,1.1878723936263066e-31,0.40251936402123206,0.0656,4.641394084364252e-30,0.2356304932735426
PPP4C,-0.19913998279665168,8.90705194513669e-08,0.557734426056371,0.2336,3.480267613685116e-07,0.4991584553928096
CORO1A,-1.3781516056954282,6.6208370687862865e-15,0.9011122009209247,0.0040695796947035545,6.166616851276529e-14,0.04289122809812562
CD2BP2,0.03705690079239393,0.8184,-0.9904478065922061,0.1248,0.834018320610687,0.34470620689655174
STX4,0.006133118805282615,0.8896,-0.2042615423931903,0.246,0.8991414511041009,0.5114794307891333
BCKDK,-0.8915517653699231,1.6104477657556634e-09,0.6475267001449239,0.1296,8.13860353545922e-09,0.3518969491525423
FUS,-0.1046405842130617,0.0164,0.4564379264172044,0.1244,0.021068805132317563,0.34470620689655174
PYCARD,-0.6528708142293408,5.021869282598244e-09,0.07280592508354095,0.4008,2.4015028629022048e-08,0.6453081407035176
ZNF267,0.24687777015174478,0.218,0.09663783881735491,0.9776,0.24594084507042255,0.9897384712571068
VPS35,-0.27317830354516337,0.001276464302213675,0.01913161099612047,0.4216,0.0019309686611391006,0.6641132743362832
DNAJA2,-0.41914394354451545,0.0056,0.0294229948577433,0.7348,0.0075388235294117645,0.8615877103145574
CYLD,0.39890256394117707,0.004547937914829252,-0.4015866246329417,0.6152,0.00625390260906134,0.7981894736842106
HERPUD1,0.08574278596343458,0.01,-0.11071613718559362,0.6064,0.013088235294117647,0.7953858190709047
FAM192A,0.19023567930821808,0.008,-0.9069237542398043,0.006,0.010591735537190084,0.05085714285714286
CKLF,-1.5273005407545315,9.305238191650591e-15,-0.07394199787277302,0.5724,8.422029142951551e-14,0.7738063865546218
CMTM3,-0.23832843638964862,0.2828,0.15215280191484562,0.5148,0.31374349030470916,0.7239915789473684
FAM96B,-0.4481385249775867,2.3429476504050908e-09,0.5417213006798198,0.3476,1.1620440049377571e-08,0.6033506493506493
TRADD,1.2645000004931977,2.9393530255845526e-06,-0.9944568366510268,0.004199696359384708,8.655962402548628e-06,0.04312765107521988
TMEM208,-0.6126446887494487,4.474723554839214e-11,1.1547703725202354,0.0448,2.8905270705050087e-10,0.18497319587628866
ATP6V0D1,-0.4843502710729731,2.6420105209261554e-11,0.3457197086826862,0.0336,1.7489672952577275e-10,0.14952
PSMB10,0.13933361715897868,0.0028980744746516167,-0.4207237629495917,0.0896,0.0041195344351303365,0.28836
PSMD7,-0.4768242406647798,2.332849538702327e-07,1.1851342601352448,0.0088,8.455260092762732e-07,0.06466788990825688
TMEM170A,-0.07009734497612181,0.7,-0.48623688105543883,0.1244,0.7267660401814646,0.34470620689655174
GABARAPL2,-0.2807668116572697,1.5594524448859774e-08,-0.053663343040144945,0.8444,6.825800045648459e-08,0.9221055214723927
KARS,0.6628865507830208,0.00024972501289014334,0.07161459925375141,0.2988,0.00044010942865787634,0.5624883666274971
TERF2IP,0.11914596205868061,0.0804,0.6900830498152732,0.3388,0.096048322147651,0.5972368421052633
HSBP1,0.1323184635336043,0.004215836315012276,-0.5941161918287831,0.0076,0.005812194300042743,0.05853461538461538
COTL1,-0.9089947374250623,3.814469398383689e-28,0.31414356207381977,0.0916,1.300165952385249e-26,0.29000632411067195
COX4I1,-0.5157584503587437,2.7810289657510635e-25,-0.2639297245731378,0.5796,7.071759370052704e-24,0.7783061190276613
MAP1LC3B,0.06288356040624515,0.0364,-0.40055882026850226,0.0068,0.04506398763523957,0.054197014925373134
CYBA,-0.042603636546729766,0.0036309265576106972,-0.3394556876710601,0.0088,0.005062440683457212,0.06466788990825688
APRT,-0.22405917042114135,0.00011505841884272604,0.07832060201537909,0.9548,0.00021710669845235233,0.9817648267008985
RPL13,-0.33605864983863043,7.282184593654531e-21,0.2743763545378558,0.002599883279377722,1.2680499694602781e-19,0.034421595153414135
TCF25,-0.2992007683239906,0.0030962203392284372,-0.17125118195624,0.0076,0.004381753518943425,0.05853461538461538
YWHAE,-0.422967942719279,7.67613934454068e-05,0.6291300248795951,0.6284,0.00015107094877093573,0.8008725536992839
SLC43A2,-0.9284156536985781,1.709481175341109e-16,0.014946116045241285,0.49,1.8136349952956668e-15,0.7071891891891892
MIR22HG,-0.3156274621165201,0.0296,0.5669651891434162,0.47,0.036959625876851136,0.6990545454545455
PAFAH1B1,0.027006369290157897,0.2612,0.12773032325973396,0.4428,0.29220837988826814,0.6827387872954764
EMC6,-0.4014799888556402,0.0007420032517332377,-0.4562211921810872,0.1508,0.001183855012251353,0.38285515055467506
ARRB2,-0.7763939112420607,2.0460043639914992e-21,-0.07520845986107887,0.6352,3.902022608469502e-20,0.8063315372424722
CXCL16,-0.3495979405905421,6.644198216352287e-08,-0.12861614795857643,0.9388,2.661001385649091e-07,0.9721768584356819
PFN1,-0.8010472844132464,7.456688313995661e-55,0.3133330076076212,0.0048,3.981871559673683e-52,0.04550059171597633
SPAG7,-0.2609500575208385,2.2878805565088733e-05,0.07575575916697178,0.7892,5.2136339282037195e-05,0.8916067700987306
DERL2,-0.12789721692382217,0.0396,0.6373906233139266,0.004542261433510702,0.048761875480399695,0.044917918620272494
TXNDC17,-0.43103264901805527,1.6250354775092847e-05,0.19423024871075703,0.274,3.862473048916727e-05,0.5353024390243902
PHF23,-0.27582460438601325,0.0006194751189508707,0.6615104009951447,0.1444,0.0010044525714162904,0.37535533980582525
GABARAP,-0.2540152878389777,5.3119605155861935e-06,0.8116803809906414,0.0316,1.467200128615359e-05,0.14505214899713467
EIF4A1,-0.30902657800931377,3.6972695940749964e-14,0.13170217459472566,0.0152,3.2544098295099695e-13,0.09294045801526717
CD68,0.23441674642793803,6.179816553728996e-05,-0.04957887714557825,0.5304,0.00012531729264650448,0.736947788378144
SAT2,0.8961734592902483,1.7896608282638604e-05,0.22331415230326643,0.9696,4.1854549589470134e-05,0.9874756516211062
TRAPPC1,-0.29418484390960037,2.3805651314168236e-07,0.08679526362093332,0.7496,8.608725373656324e-07,0.8664207792207793
VAMP2,-0.4923667283583301,6.581165563797677e-06,0.7297354812978845,0.0268,1.7717601488937152e-05,0.1337495327102804
RPL26,-0.5620712799735382,4.5476764774393794e-33,0.8481434657538206,0.0006775924164927473,2.0237160324605237e-31,0.015076431266963628
NCOR1,-0.2042227899788905,0.0005300166517461997,0.16095553990898903,0.4808,0.0008699658566571842,0.7040599634369287
UBB,0.10967201782637702,0.0020412797508379834,-0.1528309300777567,0.2528,0.002970145468521752,0.5172229885057472
MAP2K3,0.014540676975973376,0.9356,-0.18160450249565874,0.0164,0.9426611320754718,0.09914264150943398
WSB1,0.4088463412140807,0.0015630666052515545,1.541403404198054,0.8644,0.0023293327456865025,0.933132614555256
LGALS9,2.206690036891021,9.201567489779187e-06,-0.6998333353180106,0.4576,2.3930050517250417e-05,0.6948580094786729
TMEM199,-0.12761741944116592,0.1004,0.5080130943034805,0.6788,0.11870169741697419,0.8382730354391372
SDF2,-0.13607130551068986,0.0576,-0.24183090086538336,0.0308,0.069958453373768,0.14343488372093025
RPL23A,-0.28723504964443203,6.826056114580561e-22,0.4727892451281835,0.1664,1.420174272150397e-20,0.40822787136294025
NSRP1,0.026384623604090916,0.0224,-0.6743323603463309,0.1764,0.028389873417721517,0.42115171385991057
ADAP2,0.233209122623863,0.022,0.5339607259411022,0.5044,0.027949246629659,0.7176277087033747
EVI2B,-0.34116047708883324,0.0007447408441352217,-0.06206569309018654,0.1084,0.0011859590778375995,0.31805274725274724
EVI2A,-0.40522414812881824,1.5025719424515546e-06,0.157219066404884,0.3044,4.776032245649584e-06,0.5676935972060536
ZNF207,0.39151048104532643,0.0009806320235771757,-0.24969638104067016,0.22,0.001513460984364774,0.48412087912087914
PSMD11,-0.1368778427917097,0.0592,0.21465744554340604,0.3236,0.07163021148036254,0.5854222222222222
CCL2,1.6877775601473857,1.0643223935949855e-06,-1.2396016788797688,1.0621495148824717e-38,3.444534291998317e-06,1.7015635228417197e-35
CCL7,2.3725478462364653,2.6381278456007174e-05,-0.6402631565583762,1.097152985707674e-06,5.919160796431862e-05,7.323496179598724e-05
CCL5,0.8144613948887302,0.0007850880611815183,0.2099763940787511,0.9536,0.0012440267794389637,0.9817648267008985
CCL3,1.560655285582175,7.100367379603681e-06,-0.5023014969350212,0.005608348335768683,1.8957980903541828e-05,0.04804585044867075
CCL4,1.8952977809407245,5.750397482127938e-05,-0.331343052774994,0.0196,0.00011765181055388195,0.1117409252669039
CCL3L1,0.8802018273139025,0.0022099456705331126,0.3622005571261469,0.088,0.003198132758982878,0.2853765182186235
PSMB3,0.012526149909485461,0.4096,-0.565047985198087,0.0236,0.44456585365853657,0.12436578947368421
RPL23,-1.2127021996215832,3.468148803237495e-30,1.4010377784637145,0.002205110351121264,1.262721450633288e-28,0.032178690148053406
RPL19,-0.38602690944516355,1.5107896130587265e-20,0.4033678717292973,0.9776,2.495139134144412e-19,0.9897384712571068
MIEN1,-0.2528514210387531,2.3027500558349553e-05,0.7706023946118751,0.4804,5.2400647577380655e-05,0.7040599634369287
CCR7,1.0032416829292958,0.00019034450068075888,0.8235962281336505,0.0015771744643537932,0.00034146908184834907,0.02693204472927498
KRT10,-0.7530646248119188,2.914859480939378e-09,0.35955621978248886,0.7664,1.4236600269710011e-08,0.8729079545454544
EIF1,0.06334289104265146,0.0188,0.16375118940078445,0.0952,0.0240555910543131,0.297871875
DNAJC7,0.038643910741340104,0.7676,-0.44342783697009325,0.7112,0.7882661538461537,0.85344
RAB5C,-0.2417769952532178,1.4335964867039046e-06,0.5250794820710976,0.6216,4.570174381004134e-06,0.7981894736842106
STAT3,0.47764169093831926,0.0002775127182840119,-0.2537312469119624,0.9564,0.0004848150214732684,0.9821492307692308
RPL27,-0.21796230756366325,2.4117923136310154e-10,-0.34266302517087843,0.118,1.3701032930627258e-09,0.33756428571428565
IFI35,2.5310658042261083,8.020460873578994e-08,-1.281198446713492,0.003535306602936183,3.1725378566601357e-07,0.040395398550343194
GRN,0.010855985147167182,0.0064,-0.3785935067456504,0.6888,0.008565413533834587,0.8436220183486238
FMNL1,-0.22583575611364934,0.00024763360969585997,-0.5355035526679593,0.0632,0.00043738593465575263,0.22803243243243246
KPNB1,0.7682315659743746,0.0002483626077097281,-0.6537894466119605,0.0492,0.0004381904158050489,0.19655461346633415
UBE2Z,1.2952548519127418,1.6213202759456047e-05,-0.2453967206357443,0.2348,3.8593686211959266e-05,0.5001989361702128
SNF8,-0.5777883348402285,1.2538880760245344e-09,-0.018264531078362692,0.0232,6.500740122301955e-09,0.12388799999999998
MRPL27,0.024349425482539724,0.7824,0.3893213243439761,0.3552,0.8019224568138196,0.6085886631016043
LRRC59,-0.026510950455967373,0.7724,0.34054222300763415,0.9968,0.7926872517616912,0.997822860712055
MIR142,0.6008264253492848,7.934326672270194e-05,-0.6711767095061921,0.1052,0.00015538438527154313,0.3138368715083799
SUPT4H1,0.06343976936098535,0.1212,0.02293363735915179,0.638,0.1412090181818182,0.8086044303797468
