gene,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_fdr,dv_fdr,distance,ct,distance_bin
WSB1,0.47700978661444954,0.07502326373277585,0.00016355485258864516,1.1565903149512746,0.5318789370902228,0.050994900509949,0.00029924516384221173,0.3217976241591527,29553.0,cM,far
MAP2K3,0.07613141071225953,0.10760604933177556,0.47505249475052497,-0.3671422413258115,0.43844981226151775,0.3838616138386161,0.5141066755858107,0.740074131842518,577293.0,cM,far
UBB,0.18495155146303585,0.023590385682904842,1.1568029997774006e-05,0.021775372267444956,0.1300020365179361,0.8637136286371363,3.0061903198098793e-05,0.9513882630941296,1210181.0,cM,far
NCOR1,-0.13725108392617938,0.06995966399151385,0.05119488051194881,0.1594499612500933,0.40597347392995065,0.6824317568243176,0.06281052567012206,0.8753877008465287,1373460.0,cM,far
RPL26,-0.5036403300857031,0.02054331112978781,3.127601036589988e-54,1.1029574892040193,0.12530235052355657,0.000118689233794989,1.674309088254507e-51,0.00414380237988592,192148.0,cM,far
RPL23,-1.202967975189242,0.04755950761532914,5.95744504122878e-30,0.9782478456459387,0.29555910779062,0.0036996300369963003,2.5858531719495734e-28,0.04910418049104181,151042.0,cM,far
RPL19,-0.33547374429724697,0.018335060048265777,1.8187837690479097e-23,0.30359188239080204,0.1206885577735529,0.013598640135986401,4.788470054247448e-22,0.14089945844125265,250101.0,cM,far
BAX,-0.24978399652620686,0.044010011452534484,9.472279537959613e-06,0.538517431302618,0.32703679873919156,0.09669033096690331,2.539646233382828e-05,0.4202884293780864,9413.0,cM,far
MIEN1,-0.1515051070195439,0.06070753257106405,0.011498850114988501,1.0297507520360802,0.48138696554276783,0.0514948505149485,0.014868883482022168,0.3224079136487895,70068.0,cM,far
LIMD2,-0.5026162381898795,0.07266159650207835,7.552617240850062e-08,0.058716863402631256,0.2663568271941045,0.8222177782221778,3.495534088992853e-07,0.9371765449430927,265608.0,cM,far
PPP1R15A,0.1753667684723755,0.043695425079500784,0.0009749309802312837,0.0556875865401989,0.2481997337502645,0.8272172782721727,0.0015084192237489803,0.9376975284927648,497.0,cM,far
SUPT4H1,0.17931421896224106,0.05075960097326575,0.0009942944187958601,0.2854438182017039,0.3978894747275572,0.44565543445655437,0.0015354200351789917,0.7727022996625069,9768.0,cM,far
MIR142,0.7109861202161004,0.07507936980124016,2.5926048594438737e-05,-0.5127270033343093,0.3185764400766299,0.1252874712528747,6.114131283798622e-05,0.4610430359678965,5254.0,cM,far
NUCB1,0.7407478313288616,0.09565473098566615,0.00011331907162288482,0.5000173104447673,0.47834802860103237,0.2702729727027297,0.00021665527265042026,0.6492657281890858,20.0,cM,far
LRRC59,0.05590186173300739,0.07853443153774357,0.47625237476252374,0.31751101618038885,0.4451327874484447,0.45865413458654136,0.5150581238172479,0.7762667716630828,321797.0,cM,far
MRPL27,0.10291928228771483,0.08254703196162867,0.21177882211778823,0.36723110310686485,0.34431383170762686,0.27477252274772523,0.239856691340739,0.6496243494245012,346113.0,cM,far
SNF8,-0.4633283779048609,0.058089594429247826,1.270537719470147e-09,0.0316479094947249,0.42342214981498477,0.9393060693930607,7.393056440105276e-09,0.9827527996386028,385989.0,cM,far
VAMP2,-0.43007109036483465,0.08618238157152959,4.3111314706516266e-05,0.5064183599854744,0.42562724763538384,0.2572742725727427,9.484489235433578e-05,0.6408442747056564,9902.0,cM,far
UBE2Z,1.3748963929464175,0.07963346648411103,1.2085501216656095e-06,-0.26183995639503077,0.41500806387940603,0.5223477652234777,4.294096228749931e-06,0.7967376032349818,361077.0,cM,far
FMNL1,-0.10308809092686289,0.08269798856635795,0.20487951204879512,0.27980453690989354,0.40523420128301,0.5224477552244775,0.23253462639601766,0.7967376032349818,73431.0,cM,far
GRN,0.12224207734750275,0.02977203974924149,0.0006026969486979815,-0.048060604539276165,0.17636207608774254,0.7824217578242175,0.0009650361910358506,0.9263456852546138,56564.0,cM,far
STAT3,0.5844267510860639,0.0708545150500648,3.7410628632910615e-05,-0.3528996097196322,0.4063838592601668,0.38066193380661933,8.356254462371967e-05,0.740074131842518,196.0,cM,far
RAB5C,-0.15598153416003335,0.03993990683401432,0.00022218322412352994,0.22631177605379896,0.3859654082228547,0.5312468753124687,0.0003919173667524972,0.8003588008928938,15900.0,cM,far
DNAJC7,0.14104908143358832,0.06682922745973327,0.034996500349965,-0.4800636890763423,0.500233729475078,0.35026497350264973,0.04356928648220449,0.7120576549939942,1117.0,cM,far
EIF1,0.1359448138329563,0.013961654779263333,0.00044623194239303454,0.19791739135766293,0.08006687323112235,0.014798520147985201,0.000738052007706708,0.14854014598540147,22527.0,cM,far
KRT10,-0.7103646040986872,0.07331636982291954,2.5502395124920576e-17,0.29018881724376505,0.41671335147616606,0.4540545945405459,3.3571185713624953e-16,0.7762667716630828,5370.0,cM,far
CCR7,1.0774762156730415,0.13375103341675876,4.493105576880345e-05,1.053774695988761,0.24233404392918703,0.0004377298660362807,9.857824530696494e-05,0.010338149483150982,262512.0,cM,far
KPNB1,0.8641130510676955,0.07607071583879711,3.807269472307957e-05,-0.39228678980705795,0.45202595713699845,0.3755624437556244,8.492326072953582e-05,0.7382537144082408,186532.0,cM,far
FCGRT,0.43871338066349014,0.0418647552786813,5.586969445541445e-05,-0.17037447230477093,0.28407660251742145,0.5341465853414659,0.00011959990568607429,0.8018730715382838,66377.0,cM,far
TRAPPC1,-0.2180759106335925,0.05500538753371017,0.00041821756067177585,-0.356500943520892,0.4596695144715256,0.5142485751424858,0.0006960180336154114,0.7967376032349818,241325.0,cM,far
SAT2,0.9376070597749906,0.045190538665726095,2.0705169691303235e-07,0.1397486041461295,0.3405668488436049,0.6617338266173383,8.796958339744179e-07,0.8649842908304777,47405.0,cM,far
HSBP1,0.17989027736089624,0.03234300467686795,0.0007570431636303962,-0.5020070921531024,0.39276658542453935,0.17968203179682032,0.0011908602567937544,0.5603288214867834,784960.0,cM,far
TERF2IP,0.1607242578347269,0.08563248166934642,0.06059394060593941,0.8793591256891963,0.49063190797538275,0.0832916708329167,0.07361109577393245,0.39227690134212384,3744634.0,cM,far
KARS,0.7253018620780766,0.09141683868972915,8.78350871532384e-05,-0.04575536110611511,0.4383471292947768,0.9087091290870913,0.00017329625303206495,0.9690336926572244,3752222.0,cM,far
GABARAPL2,-0.22239188541838054,0.04068236769190133,4.0342820821962614e-06,0.14120747871600078,0.36549966615941787,0.6947305269473053,1.2065283098709862e-05,0.882005712472231,3825258.0,cM,far
TMEM170A,0.0709792489649106,0.09205331775467111,0.43085691430856915,-0.21106208098589502,0.5184838131342938,0.6681331866813318,0.4691228504268217,0.8658075368933695,3935368.0,cM,far
PSMD7,-0.3389673724486665,0.05831531299845708,1.1181630000314848e-06,1.1494459840450502,0.3639129366868759,0.0028997100289971,4.008414683148582e-06,0.04157977059436913,3600982.0,cM,far
PSMB10,0.25853476217287696,0.0724006449493916,0.0008651086212728022,-0.3926062268500621,0.4356690426557062,0.34196580341965804,0.0013528378245025513,0.704098820887142,88933.0,cM,far
ATP6V0D1,-0.39862427750908525,0.04941215595977243,8.569148166680764e-10,0.18987036280268973,0.32081178294261314,0.534046595340466,5.135094013316906e-09,0.8018730715382838,365451.0,cM,far
COTL1,-0.8064957288075046,0.03406639256806562,1.4106613873917858e-43,0.4933496726716084,0.1795298230112529,0.009599040095990401,1.5103481254341388e-41,0.10780460415496912,3602.0,cM,far
TMEM208,-0.5465693493781643,0.07382630916871878,2.3303582524742305e-09,0.7979196814870799,0.43764223709201155,0.06819318068193181,1.2994983866227827e-08,0.3549476767533603,326775.0,cM,far
FAM96B,-0.31738272931738737,0.053410003724235315,3.644603051142323e-07,0.9245676372103826,0.39411432286605547,0.025897410258974102,1.4524150124403401e-06,0.21328841474826876,33923.0,cM,far
