SOURCE,TARGET,CTRL,STIM,CTRL_MAG,STIM_MAG
BBX,ZNF207,-0.3987280949950218,0.05025640409439802,0.3987280949950218,0.05025640409439802
BBX,CTNNBL1,-0.3043351545929909,-0.13662311621010303,0.3043351545929909,0.13662311621010303
BBX,CYTH2,-0.32517051324248314,-0.1700090253725648,0.32517051324248314,0.1700090253725648
BBX,U2AF1,-0.3319724053144455,-0.02249768190085888,0.3319724053144455,0.02249768190085888
CREM,CHMP2B,-0.32055021077394485,-0.06226369284559041,0.32055021077394485,0.06226369284559041
CREM,NDUFB4,-0.3097653922159225,0.14111796161159873,0.3097653922159225,0.14111796161159873
CREM,NDUFC1,-0.3651822474785149,-0.04095050832256675,0.3651822474785149,0.04095050832256675
CREM,IL7R,0.3729011807590723,-0.029957240447402,0.3729011807590723,0.029957240447402
CREM,SRA1,0.35293021565303206,-0.11615320364944637,0.35293021565303206,0.11615320364944637
CREM,SQSTM1,0.3324054558761418,-0.06361034174915403,0.3324054558761418,0.06361034174915403
CREM,RAB32,-0.31694028357742354,-0.16882754862308502,0.31694028357742354,0.16882754862308502
CREM,NDUFB9,0.3047829691786319,-0.04292167420499027,0.3047829691786319,0.04292167420499027
CREM,CREM,0.9987245351076126,0.9985018894076347,0.9987245351076126,0.9985018894076347
CREM,STX5,0.3500701282173395,-0.07628380134701729,0.3500701282173395,0.07628380134701729
CREM,TIMM8B,-0.36312671937048435,-0.11608748510479927,0.36312671937048435,0.11608748510479927
CREM,LITAF,0.3278918662108481,0.04114649035909679,0.3278918662108481,0.04114649035909679
CREM,RBCK1,0.3408119163941592,-0.09748967760242522,0.3408119163941592,0.09748967760242522
CREM,RBM39,0.3314093963126652,0.2972380134742707,0.3314093963126652,0.2972380134742707
CREM,RNF114,0.31550785154104233,0.06936422258149832,0.31550785154104233,0.06936422258149832
CREM,HCST,-0.3540971602778882,0.020240220008417964,0.3540971602778882,0.020240220008417964
IRF7,ELOVL1,-0.37310647778213024,0.04798571695573628,0.37310647778213024,0.04798571695573628
IRF7,GBP2,0.3097754392947536,0.10781783983111382,0.3097754392947536,0.10781783983111382
IRF7,PFDN2,-0.4198006128426641,0.0017003752291202545,0.4198006128426641,0.0017003752291202545
IRF7,REL,-0.31112738233059645,0.07851603720337152,0.31112738233059645,0.07851603720337152
IRF7,PLEKHB2,-0.35130727104842663,-0.011929084779694676,0.35130727104842663,0.011929084779694676
IRF7,PLSCR1,0.30118203442543745,0.12966963811777532,0.30118203442543745,0.12966963811777532
